Label;Tanggal;Judul;Narasi;Source
0;22-Aug-23;Infeksi Saluran Pernafasan Bawah Satu Dari 11 Isu Kesehatan Utama Selama 2023;Institute of Health and Metric Evaluation (IHME) membuat analisa tentang 11 isu kesehatan yang menjadi sorotan pada 2023. Dari ke-11 isu tersebut infeksi pernafasan bawah menjadi salah satu isu kesehatan yang menjadi sorotan.Infeksi saluran pernafasan adalah infeksi yang terjadi di saluran pernafasan.;https://dinkes.jogjaprov.go.id/berita/detail/infeksi-saluran-pernafasan-bawah-satu-dari-11-isu-kesehatan-utama-selama-2023
0;17-Feb-24;Autisme Bukan Penyakit, Psikolog: Ada 3 Cara Mendampingi;Psikolog Vitriani Sumarlis menjelaskan bahwa autisme adalah kondisi neurologis seumur hidup, bukan penyakit yang bisa disembuhkan. Untuk mendampingi anak dengan autisme secara adaptif, perlu dilakukan screening dini, kolaborasi antara orang tua dan sekolah, serta terapi yang sesuai seperti terapi wicara, sensorik, dan perilaku.;https://www.kompas.com/edu/read/2024/02/17/125201871/autisme-bukan-penyakit-psikolog-ada-3-cara-mendampingi
0;04-Apr-24;Guru Besar UGM Luncurkan Buku Menolak Dehumanisasi;Guru Besar Departemen Sosiologi UGM Prof. Dr. Heru Nugroho bersama penulis lainnya, Gregorius Ragil Wibawanto, A.B Widyanta, dan Rizqyansyah Fitraramadhana menulis buku Proliferasi Pemikiran Sosial Kritis: Memaknai Emansipasi, Menolak Dehumanisasi. Buku setebal 314 halaman yang diterbitkan oleh Kanisius ini, menghadirkan hasil pemikiran sosial kritis soal perkembangan dan praktik digital serta transformasi ekonomi-politik liberal berpengaruh terhadap hilangnya hak warga negara. Perkembangan dan kemajuan teknologi adalah hal yang tidak dapat dihindari. Pada satu sisi, teknologi canggih dan modern memberikan berbagai kemudahan dalam segala aspek kehidupan manusia. Tapi di sisi lain, kesenjangan yang ditimbulkan menyebabkan adanya fenomena dehumanisasi.;https://ugm.ac.id/id/berita/guru-besar-ugm-luncurkan-buku-menolak-dehumanisasi/
0;23-Apr-24;Hari Buku Sedunia Diperingati Setiap 23 April, Ini Sejarahnya;Hari buku sedunia atau World Book Day diperingati setiap 23 April. Perayaan tahunan ini diadakan untuk mempromosikan peran membaca, penerbitan, dan hak cipta.;https://uici.ac.id/hari-buku-sedunia-diperingati-setiap-23-april-ini-sejarahnya/
0;24-Apr-24;Selamat! Presiden dan Wakil Presiden Terpilih;Pengasuh Pondok Pesantren Ora Aji Gus Miftah menyebut Presiden Joko Widodo meminta para pengasuh pondok pesantren ikut mengawal kelancaran transisi pemerintahan Prabowo Subianto.;https://indonesiabaik.id/infografis/selamat-presiden-dan-wakil-presiden-terpilih
0;15-May-24;Keindahan Indonesia dalam Buku Fotografi Karya Fotografer Indonesia;Bagi penggemar buku-buku berkualitas, tanggal 17 Mei bisa dibilang menjadi hari yang spesial. Sebab, pada tanggal tersebut diperingati sebagai Hari Buku Nasional. Seperti yang kita tahu, sebagai salah satu bagian dari ekonomi kreatif, subsektor penerbitan selalu memberikan inovasi dan ide-ide kreatifnya dalam menerbitkan buku-buku yang berkualitas. Bahkan, subsektor penerbitan pun kerap berkolaborasi dengan berbagai subsektor ekonomi kreatif lainnya.;https://kemenparekraf.go.id/ragam-ekonomi-kreatif/keindahan-indonesia-dalam-buku-fotografi-karya-fotografer-indonesia
0;30-May-24;Greysia Polii Luncurkan Buku Biografi;Menjadi peraih medali emas Olimpiade adalah impian setiap atlet bulutangkis. Namun, kita tahu bahwa tak ada jalan pintas menuju ke sana, semua butuh perjuangan dan komitmen yang tinggi. Sebuah tantangan yang tak main-main buat seorang atlet. Akan tetapi, Greysia Polii tetap memberanikan diri untuk bermimpi menjadi juara di pesta olahraga akbar empat tahunan tersebut. Benar saja, jalan terjal dilalui Greysia, mimpinya sempat nyaris kandas, Greysia hampir menyerah melewati berbagai ujian yang datang hingga pernah beberapa kali berpikir untuk gantung raket.;https://pbdjarum.org/berita/diluar-arena/20240530-greysia-polii-luncurkan-buku-biografi
0;05-Jun-24;Jaktim siapkan denda warga Rp50 juta bila di rumah ada jentik nyamuk;Satuan Polisi Pamong Praja (Satpol PP) Jakarta Timur menyiapkan sanksi kepada warga berupa denda Rp50 juta bila ditemukan ada jentik nyamuk Aedes aegypti di dalam rumahnya.;https://www.antaranews.com/berita/4138932/jaktim-siapkan-denda-warga-rp50-jutabila-di-rumah-ada-jentik-nyamuk
0;07-Jun-24;Teknologi AI Peluang Besar Tingkatkan Layanan Kesehatan;Menteri Kesehatan Budi Gunadi Sadikin meyakini bahwa perkembangan teknologi AI Generatif atau kecerdasan buatan di bidang kesehatan akan membawa perubahan signifikan bagi peningkatan layanan kesehatan di Indonesia.;https://sehatnegeriku.kemkes.go.id/baca/umum/20240603/0945640/teknologi-ai-peluang-besar-tingkatkan-layanan-kesehatan/
0;10-Jun-24;Meriahkan HUT DKI ke-497, Jakarta Timur Gelar Bazar UMKM Terbesar;Kota Administrasi Jakarta Timur telah menyelesaikan kurasi terhadap 2.166 peserta UMKM binaan dalam rangka menyambut HUT DKI Jakarta ke-497. Proses kurasi yang berlangsung selama hampir satu minggu ini bertujuan mempersiapkan peserta untuk kegiatan bazar Jakarta Entrepreneur yang akan digelar pada 14 Juni 2024.;https://rm.id/baca-berita/megapolitan/223799/meriahkan-hut-dki-ke497-jakarta-timur-gelar-bazar-umkm-terbesar
